,RMSE,bsl_options,params,scores
102,1.0000215151463787,"{'method': 'als', 'reg_i': 20.0, 'reg_u': 5.0, 'n_epochs': 8.0}","{'bsl_options': {'method': 'als', 'reg_i': 20.0, 'reg_u': 5.0, 'n_epochs': 8.0}}",{'RMSE': 1.0000215151463787}
103,1.0000217904074773,"{'method': 'als', 'reg_i': 20.0, 'reg_u': 5.0, 'n_epochs': 11.5}","{'bsl_options': {'method': 'als', 'reg_i': 20.0, 'reg_u': 5.0, 'n_epochs': 11.5}}",{'RMSE': 1.0000217904074773}
104,1.000022130035554,"{'method': 'als', 'reg_i': 20.0, 'reg_u': 5.0, 'n_epochs': 15.0}","{'bsl_options': {'method': 'als', 'reg_i': 20.0, 'reg_u': 5.0, 'n_epochs': 15.0}}",{'RMSE': 1.0000221300355541}
105,1.0004550170718842,"{'method': 'als', 'reg_i': 20.0, 'reg_u': 10.0, 'n_epochs': 1.0}","{'bsl_options': {'method': 'als', 'reg_i': 20.0, 'reg_u': 10.0, 'n_epochs': 1.0}}",{'RMSE': 1.0004550170718842}
106,0.9997907868656887,"{'method': 'als', 'reg_i': 20.0, 'reg_u': 10.0, 'n_epochs': 4.5}","{'bsl_options': {'method': 'als', 'reg_i': 20.0, 'reg_u': 10.0, 'n_epochs': 4.5}}",{'RMSE': 0.99979078686568867}
107,0.999789873547648,"{'method': 'als', 'reg_i': 20.0, 'reg_u': 10.0, 'n_epochs': 8.0}","{'bsl_options': {'method': 'als', 'reg_i': 20.0, 'reg_u': 10.0, 'n_epochs': 8.0}}",{'RMSE': 0.99978987354764803}
108,0.9997894798784221,"{'method': 'als', 'reg_i': 20.0, 'reg_u': 10.0, 'n_epochs': 11.5}","{'bsl_options': {'method': 'als', 'reg_i': 20.0, 'reg_u': 10.0, 'n_epochs': 11.5}}",{'RMSE': 0.99978947987842215}
109,0.9997891413267914,"{'method': 'als', 'reg_i': 20.0, 'reg_u': 10.0, 'n_epochs': 15.0}","{'bsl_options': {'method': 'als', 'reg_i': 20.0, 'reg_u': 10.0, 'n_epochs': 15.0}}",{'RMSE': 0.99978914132679142}
110,1.0004133704579603,"{'method': 'als', 'reg_i': 20.0, 'reg_u': 15.0, 'n_epochs': 1.0}","{'bsl_options': {'method': 'als', 'reg_i': 20.0, 'reg_u': 15.0, 'n_epochs': 1.0}}",{'RMSE': 1.0004133704579603}
111,0.9997648377163365,"{'method': 'als', 'reg_i': 20.0, 'reg_u': 15.0, 'n_epochs': 4.5}","{'bsl_options': {'method': 'als', 'reg_i': 20.0, 'reg_u': 15.0, 'n_epochs': 4.5}}",{'RMSE': 0.99976483771633651}
112,0.9997556311436353,"{'method': 'als', 'reg_i': 20.0, 'reg_u': 15.0, 'n_epochs': 8.0}","{'bsl_options': {'method': 'als', 'reg_i': 20.0, 'reg_u': 15.0, 'n_epochs': 8.0}}",{'RMSE': 0.9997556311436353}
113,0.9997520441138317,"{'method': 'als', 'reg_i': 20.0, 'reg_u': 15.0, 'n_epochs': 11.5}","{'bsl_options': {'method': 'als', 'reg_i': 20.0, 'reg_u': 15.0, 'n_epochs': 11.5}}",{'RMSE': 0.99975204411383167}
114,0.9997494472052931,"{'method': 'als', 'reg_i': 20.0, 'reg_u': 15.0, 'n_epochs': 15.0}","{'bsl_options': {'method': 'als', 'reg_i': 20.0, 'reg_u': 15.0, 'n_epochs': 15.0}}",{'RMSE': 0.99974944720529313}
115,1.000504820320229,"{'method': 'als', 'reg_i': 20.0, 'reg_u': 20.0, 'n_epochs': 1.0}","{'bsl_options': {'method': 'als', 'reg_i': 20.0, 'reg_u': 20.0, 'n_epochs': 1.0}}",{'RMSE': 1.0005048203202289}
116,0.9998636370825608,"{'method': 'als', 'reg_i': 20.0, 'reg_u': 20.0, 'n_epochs': 4.5}","{'bsl_options': {'method': 'als', 'reg_i': 20.0, 'reg_u': 20.0, 'n_epochs': 4.5}}",{'RMSE': 0.99986363708256076}
117,0.9998445868986655,"{'method': 'als', 'reg_i': 20.0, 'reg_u': 20.0, 'n_epochs': 8.0}","{'bsl_options': {'method': 'als', 'reg_i': 20.0, 'reg_u': 20.0, 'n_epochs': 8.0}}",{'RMSE': 0.99984458689866551}
118,0.9998382998978834,"{'method': 'als', 'reg_i': 20.0, 'reg_u': 20.0, 'n_epochs': 11.5}","{'bsl_options': {'method': 'als', 'reg_i': 20.0, 'reg_u': 20.0, 'n_epochs': 11.5}}",{'RMSE': 0.99983829989788342}
119,0.9998343804987162,"{'method': 'als', 'reg_i': 20.0, 'reg_u': 20.0, 'n_epochs': 15.0}","{'bsl_options': {'method': 'als', 'reg_i': 20.0, 'reg_u': 20.0, 'n_epochs': 15.0}}",{'RMSE': 0.9998343804987162}
120,1.0006836293553176,"{'method': 'als', 'reg_i': 20.0, 'reg_u': 25.0, 'n_epochs': 1.0}","{'bsl_options': {'method': 'als', 'reg_i': 20.0, 'reg_u': 25.0, 'n_epochs': 1.0}}",{'RMSE': 1.0006836293553176}
121,1.000044151237336,"{'method': 'als', 'reg_i': 20.0, 'reg_u': 25.0, 'n_epochs': 4.5}","{'bsl_options': {'method': 'als', 'reg_i': 20.0, 'reg_u': 25.0, 'n_epochs': 4.5}}",{'RMSE': 1.0000441512373359}
122,1.0000163970728497,"{'method': 'als', 'reg_i': 20.0, 'reg_u': 25.0, 'n_epochs': 8.0}","{'bsl_options': {'method': 'als', 'reg_i': 20.0, 'reg_u': 25.0, 'n_epochs': 8.0}}",{'RMSE': 1.0000163970728497}
123,1.0000085477833374,"{'method': 'als', 'reg_i': 20.0, 'reg_u': 25.0, 'n_epochs': 11.5}","{'bsl_options': {'method': 'als', 'reg_i': 20.0, 'reg_u': 25.0, 'n_epochs': 11.5}}",{'RMSE': 1.0000085477833374}
124,1.0000042759467913,"{'method': 'als', 'reg_i': 20.0, 'reg_u': 25.0, 'n_epochs': 15.0}","{'bsl_options': {'method': 'als', 'reg_i': 20.0, 'reg_u': 25.0, 'n_epochs': 15.0}}",{'RMSE': 1.0000042759467913}
